ID,Date Added,Responsible,Category,Est Time,Task Name EN,Task Name FR,Description EN,Description FR,YouTube Link,Worksheet,Date assigned,Date Completed,IsDone,Points
1,2026-06-03,Mom,Housework,10,Dishwasher,,Empty the dishwasher,,,,2026-06-03,2026-06-03,Yes,2
2,2026-06-03,Oliver,Housework,10,Sweep Bedroom,,"Clean off bedroom floor. Put away dirty laundry, Sweep under bedsite table",,,,2026-06-04,,,2
3,2026-05-28,Mom,Housework,0,Renew library cards,,Check expiration on all library cards and renew online at the library website,,,,2026-05-28,2026-05-28,Yes,0
4,2026-05-30,Oliver,School,90,Book report draft,,Write first draft of your book report on Charlotte's Web — at least 3 paragraphs,,,,,,,18
5,2026-06-01,Logan,School,60,Math and Science,,5 science on life cycles and 10 on money,,,,2026-06-03,2026-06-03,Yes,12
6,2026-06-02,Mom,Admin,5,Dentist appointments,,Book annual checkup appointments for Oliver and Logan before school ends June 27,,,,2026-06-04,2026-06-04,Yes,1
7,2026-06-03,Family,Housework,30,Weekend clean-up,,Everyone picks one room to tidy before Sunday dinner — 20 minutes each,,,,,,,6
8,2026-06-03,Oliver,School,20,Reading log,,Language Arts task due 2026-06-05. Read for 20 minutes and update the reading log.,,,,,,,4
9,2026-06-03,Oliver,School,20,Math practice,,Math task due 2026-06-06. Complete the assigned math practice.,,,,,,,4
10,2026-06-03,Logan,School,20,Spelling words,,Language Arts task due 2026-06-05. Practice the spelling words out loud and in writing.,,,,,,,4
11,2026-06-03,Logan,School,20,Science drawing,,Science task due 2026-06-07. Finish the science drawing.,,,,,,,4
12,2026-06-03,Oliver,Brain Activation,10,Cross-Lateral Brain Wake-Up,,Complete all cross-body movements for 2 minutes.,,,,2026-06-03,2026-06-03,Yes,2
13,2026-06-03,Logan,Brain Activation,10,Opposite Day Challenge,,Play the opposite game for 5 minutes and complete 20 commands correctly.,,,,2026-06-04,,,2
14,2026-06-03,Logan,Brain Activation,10,Memory Tray Detective,,"Study 10 objects, then recall as many as possible from memory.",,,,,,,2
15,2026-06-03,Logan,Brain Activation,10,Number-Body Pattern,,Complete 10 number-action sequences without mistakes.,,,,,,,2
16,2026-06-03,Logan,Brain Activation,10,Mystery Category Race,,Name items in a category without repeating or pausing longer than 3 seconds.,,,,,,,2
18,2026-06-03,Mom,NCSO Study,15,NCSO 01 - Exam map and weak spots,,Study point: Review the NCSO exam structure and list 3 weak areas to prioritize. Note that national/provincial exams are closed-book and typically require 75% to pass.,,,,2026-06-05,,,3
19,2026-06-03,Mom,NCSO Study,15,NCSO 02 - Health and safety program basics,,"Study point: Name the core pieces of a construction health and safety program: policy, roles, hazard control, training, inspections, investigations, emergency response, records, and review.",,,,,,,3
20,2026-06-03,Mom,NCSO Study,15,NCSO 03 - Internal responsibility system,,"Study point: Explain how employers, supervisors, workers, contractors, and safety personnel each share responsibility for site safety. Make one jobsite example for each role.",,,,,,,3
21,2026-06-03,Mom,NCSO Study,15,NCSO 04 - Legislation and due diligence,,Study point: Review employer/supervisor/worker legal duties and the idea of due diligence. Write the proof you would need to show reasonable care was taken.,,,,,,,3
