ID,Date Added,Responsible,Category,Est Time,Task Name EN,Task Name FR,Description EN,Description FR,YouTube Link,Worksheet,Date assigned,Date Completed,IsDone,Points
1,2026-06-03,Mom,Housework,10,Dishwasher,,Empty the dishwasher,,,,2026-06-03,2026-06-03,Yes,2
2,2026-06-03,Oliver,Housework,10,Sweep Bedroom,,"Clean off bedroom floor. Put away dirty laundry, Sweep under bedsite table",,,,2026-06-04,,,2
3,2026-05-28,Mom,Housework,0,Renew library cards,,Check expiration on all library cards and renew online at the library website,,,,2026-05-28,2026-05-28,Yes,0
4,2026-05-30,Oliver,School,90,Book report draft,,Write first draft of your book report on Charlotte's Web — at least 3 paragraphs,,https://www.youtube.com/results?search_query=kids%20learning%20activity%20Book%20report%20draft%20Write%20first%20draft%20of%20your%20book%20report%20on%20Charlotte%27s%20Web%20%E2%80%94%20at%20least%203%20paragraphs,https://idunnoguesswho.github.io/snowflake/worksheets/4.html,,,,18
5,2026-06-01,Logan,School,60,Math and Science,,5 science on life cycles and 10 on money,,https://www.youtube.com/results?search_query=kids%20learning%20activity%20Math%20and%20Science%205%20science%20on%20life%20cycles%20and%2010%20on%20money,https://idunnoguesswho.github.io/snowflake/worksheets/5.html,2026-06-03,2026-06-03,Yes,12
6,2026-06-02,Mom,Admin,5,Dentist appointments,,Book annual checkup appointments for Oliver and Logan before school ends June 27,,,,2026-06-04,2026-06-04,Yes,1
7,2026-06-03,Family,Housework,30,Weekend clean-up,,Everyone picks one room to tidy before Sunday dinner — 20 minutes each,,,,,,,6
8,2026-06-03,Oliver,School,20,Reading log,,Language Arts task due 2026-06-05. Read for 20 minutes and update the reading log.,,https://www.youtube.com/results?search_query=kids%20learning%20activity%20Reading%20log%20Language%20Arts%20task%20due%202026-06-05.%20Read%20for%2020%20minutes%20and%20update%20the%20reading%20lo,https://idunnoguesswho.github.io/snowflake/worksheets/8.html,,,,4
9,2026-06-03,Oliver,School,20,Math practice,,Math task due 2026-06-06. Complete the assigned math practice.,,https://www.youtube.com/results?search_query=kids%20learning%20activity%20Math%20practice%20Math%20task%20due%202026-06-06.%20Complete%20the%20assigned%20math%20practice.,https://idunnoguesswho.github.io/snowflake/worksheets/9.html,,,,4
10,2026-06-03,Logan,School,20,Spelling words,,Language Arts task due 2026-06-05. Practice the spelling words out loud and in writing.,,https://www.youtube.com/results?search_query=kids%20learning%20activity%20Spelling%20words%20Language%20Arts%20task%20due%202026-06-05.%20Practice%20the%20spelling%20words%20out%20loud%20and%20in%20w,https://idunnoguesswho.github.io/snowflake/worksheets/10.html,,,,4
11,2026-06-03,Logan,School,20,Science drawing,,Science task due 2026-06-07. Finish the science drawing.,,https://www.youtube.com/results?search_query=kids%20learning%20activity%20Science%20drawing%20Science%20task%20due%202026-06-07.%20Finish%20the%20science%20drawing.,https://idunnoguesswho.github.io/snowflake/worksheets/11.html,,,,4
